ID,name,category,safetyStockLevel,tarriff_ID
101,name-4452100,category-4452100,15.908601110312034,1
102,name-4452101,category-4452101,49.69286154785821,2
103,name-4452102,category-4452102,50.48343425572324,3
104,name-4452103,category-4452103,36.78398928585771,4
105,name-4452104,category-4452104,34.471026988908335,5
106,name-4452105,category-4452105,63.1228762774121,6
107,name-4452106,category-4452106,35.13504335972299,7
108,name-4452107,category-4452107,95.4738910758239,8
109,name-4452108,category-4452108,45.12378880229127,9
110,name-4452109,category-4452109,95.82146310379558,10
