action_id,action_type,status,timestamp,context_session_id
1,query_vendor,success,2024-01-11T10:00:00.000Z,1
2,suggested_allocation,success,2024-01-11T10:30:00.000Z,1
3,query_vendor,success,2023-11-05T08:30:00.000Z,2
4,suggested_allocation,success,2023-11-05T09:00:00.000Z,2
5,query_vendor,success,2024-03-22T13:45:00.000Z,3
6,query_vendor,success,2024-03-22T14:00:00.000Z,3
7,suggested_allocation,pending,2024-03-22T14:15:00.000Z,3
8,query_vendor,success,2024-02-14T10:30:00.000Z,4
9,suggested_allocation,success,2024-02-14T11:00:00.000Z,4
10,query_vendor,success,2023-10-30T12:30:00.000Z,5
11,suggested_allocation,success,2023-10-30T13:00:00.000Z,5
12,override_check,success,2023-10-30T13:15:00.000Z,5
13,query_vendor,success,2023-09-18T08:15:00.000Z,6
14,suggested_allocation,success,2023-09-18T08:45:00.000Z,6
15,query_vendor,success,2024-01-28T09:00:00.000Z,7
16,suggested_allocation,success,2024-01-28T09:30:00.000Z,7
17,query_vendor,failed,2024-04-05T09:30:00.000Z,8
18,query_vendor,success,2024-04-05T09:45:00.000Z,8
19,suggested_allocation,pending,2024-04-05T10:00:00.000Z,8
20,query_vendor,success,2023-08-12T07:00:00.000Z,9
21,suggested_allocation,success,2023-08-12T07:30:00.000Z,9
22,override_check,skipped,2024-02-01T15:00:00.000Z,10
23,suggested_allocation,success,2024-02-01T15:00:00.000Z,10
24,query_vendor,success,2024-04-18T11:00:00.000Z,11
25,suggested_allocation,pending,2024-04-18T11:30:00.000Z,11
