reference_id,direction,ref_type,ref_id,snapshot_data,created_at,action_action_id
12729915,n-12729915,ref_type-12729915,ref_id-12729915,snapshot_data-12729915,2022-12-06T08:00:00.000Z,355864
12729916,n-12729916,ref_type-12729916,ref_id-12729916,snapshot_data-12729916,2012-06-04T08:00:00.000Z,355864
12729917,n-12729917,ref_type-12729917,ref_id-12729917,snapshot_data-12729917,2010-04-13T08:00:00.000Z,355864
12729918,n-12729918,ref_type-12729918,ref_id-12729918,snapshot_data-12729918,2023-12-17T08:00:00.000Z,355864
12729919,n-12729919,ref_type-12729919,ref_id-12729919,snapshot_data-12729919,2006-06-27T08:00:00.000Z,355864
12729920,n-12729920,ref_type-12729920,ref_id-12729920,snapshot_data-12729920,2023-07-11T08:00:00.000Z,355864
12729921,n-12729921,ref_type-12729921,ref_id-12729921,snapshot_data-12729921,2010-04-17T08:00:00.000Z,355864
12729922,n-12729922,ref_type-12729922,ref_id-12729922,snapshot_data-12729922,2023-07-11T08:00:00.000Z,355864
12729923,n-12729923,ref_type-12729923,ref_id-12729923,snapshot_data-12729923,2008-01-17T08:00:00.000Z,355864
12729924,n-12729924,ref_type-12729924,ref_id-12729924,snapshot_data-12729924,2004-01-21T08:00:00.000Z,355864
12729925,n-12729925,ref_type-12729925,ref_id-12729925,snapshot_data-12729925,2010-02-14T08:00:00.000Z,355864
12729926,n-12729926,ref_type-12729926,ref_id-12729926,snapshot_data-12729926,2014-02-03T08:00:00.000Z,355864
12729927,n-12729927,ref_type-12729927,ref_id-12729927,snapshot_data-12729927,2001-04-01T08:00:00.000Z,355864
12729928,n-12729928,ref_type-12729928,ref_id-12729928,snapshot_data-12729928,2020-05-28T08:00:00.000Z,355864
12729929,n-12729929,ref_type-12729929,ref_id-12729929,snapshot_data-12729929,2023-07-20T08:00:00.000Z,355864
12729930,n-12729930,ref_type-12729930,ref_id-12729930,snapshot_data-12729930,2018-11-16T08:00:00.000Z,355864
12729931,n-12729931,ref_type-12729931,ref_id-12729931,snapshot_data-12729931,2004-10-05T08:00:00.000Z,355864
12729932,n-12729932,ref_type-12729932,ref_id-12729932,snapshot_data-12729932,2019-10-27T08:00:00.000Z,355864
12729933,n-12729933,ref_type-12729933,ref_id-12729933,snapshot_data-12729933,2005-07-17T08:00:00.000Z,355864
12729934,n-12729934,ref_type-12729934,ref_id-12729934,snapshot_data-12729934,2002-06-30T08:00:00.000Z,355864
12729935,n-12729935,ref_type-12729935,ref_id-12729935,snapshot_data-12729935,2000-05-08T08:00:00.000Z,355864
12729936,n-12729936,ref_type-12729936,ref_id-12729936,snapshot_data-12729936,2000-10-24T08:00:00.000Z,355864
12729937,n-12729937,ref_type-12729937,ref_id-12729937,snapshot_data-12729937,2016-07-21T08:00:00.000Z,355864
12729938,n-12729938,ref_type-12729938,ref_id-12729938,snapshot_data-12729938,2017-05-20T08:00:00.000Z,355864
12729939,n-12729939,ref_type-12729939,ref_id-12729939,snapshot_data-12729939,2013-11-28T08:00:00.000Z,355864
12729940,n-12729940,ref_type-12729940,ref_id-12729940,snapshot_data-12729940,2012-09-12T08:00:00.000Z,355864
12729941,n-12729941,ref_type-12729941,ref_id-12729941,snapshot_data-12729941,2007-04-10T08:00:00.000Z,355864
12729942,n-12729942,ref_type-12729942,ref_id-12729942,snapshot_data-12729942,2010-05-27T08:00:00.000Z,355864
12729943,n-12729943,ref_type-12729943,ref_id-12729943,snapshot_data-12729943,2016-05-01T08:00:00.000Z,355864
