log_id,stage,actor_role,decision,decided_at,request_request_id
1,complete,procurement_lead,complete,2024-01-12T08:00:00.000Z,1
2,complete,finance_manager,complete,2024-01-14T08:00:00.000Z,1
3,complete,procurement_lead,complete,2023-11-06T08:00:00.000Z,2
4,complete,finance_manager,complete,2023-11-08T08:00:00.000Z,2
5,processing,supply_planner,pending,2024-03-23T08:00:00.000Z,3
6,complete,procurement_lead,complete,2024-02-15T08:00:00.000Z,4
7,complete,finance_manager,complete,2024-02-18T08:00:00.000Z,4
8,complete,compliance_officer,denied,2023-10-31T08:00:00.000Z,5
9,complete,procurement_lead,complete,2023-09-19T08:00:00.000Z,6
10,complete,finance_manager,complete,2023-09-21T08:00:00.000Z,6
11,complete,procurement_lead,complete,2024-01-30T08:00:00.000Z,7
12,complete,finance_manager,complete,2024-02-01T08:00:00.000Z,7
13,processing,supply_planner,pending,2024-04-06T08:00:00.000Z,8
14,complete,procurement_lead,complete,2023-08-13T08:00:00.000Z,9
15,complete,finance_manager,complete,2023-08-15T08:00:00.000Z,9
16,complete,procurement_lead,complete,2024-02-02T08:00:00.000Z,10
17,complete,compliance_officer,complete,2024-02-05T08:00:00.000Z,10
18,processing,supply_planner,pending,2024-04-19T08:00:00.000Z,11
19,complete,procurement_lead,complete,2023-07-26T08:00:00.000Z,12
20,complete,finance_manager,complete,2023-07-28T08:00:00.000Z,12
21,complete,procurement_lead,complete,2024-03-11T08:00:00.000Z,13
22,complete,compliance_officer,denied,2023-12-03T08:00:00.000Z,14
23,processing,supply_planner,pending,2024-04-30T08:00:00.000Z,15
24,complete,procurement_lead,complete,2024-01-16T08:00:00.000Z,16
25,complete,finance_manager,complete,2024-01-18T08:00:00.000Z,16
26,complete,procurement_lead,complete,2023-06-21T08:00:00.000Z,17
27,complete,procurement_lead,complete,2024-03-01T08:00:00.000Z,18
28,complete,finance_manager,complete,2024-03-03T08:00:00.000Z,18
29,processing,supply_planner,pending,2024-05-04T08:00:00.000Z,19
30,complete,procurement_lead,complete,2023-10-09T08:00:00.000Z,20
