override_id,overridden_by,new_quantity,created_at,reason_code,allocation_allocation_id
30473563,overridden_by-30473563,10,2011-06-18T08:00:00.000Z,reason_code-30473563,17098345
30473564,overridden_by-30473564,36,2021-09-02T08:00:00.000Z,reason_code-30473564,17098345
30473565,overridden_by-30473565,97,2019-10-20T08:00:00.000Z,reason_code-30473565,17098345
30473566,overridden_by-30473566,18,2009-01-04T08:00:00.000Z,reason_code-30473566,17098345
30473567,overridden_by-30473567,19,2012-10-12T08:00:00.000Z,reason_code-30473567,17098345
30473568,overridden_by-30473568,7,2021-06-14T08:00:00.000Z,reason_code-30473568,17098345
30473569,overridden_by-30473569,84,2011-06-13T08:00:00.000Z,reason_code-30473569,17098345
30473570,overridden_by-30473570,49,2004-10-04T08:00:00.000Z,reason_code-30473570,17098345
30473571,overridden_by-30473571,65,2012-08-31T08:00:00.000Z,reason_code-30473571,17098345
30473572,overridden_by-30473572,93,2021-09-29T08:00:00.000Z,reason_code-30473572,17098345
30473573,overridden_by-30473573,0,2019-04-22T08:00:00.000Z,reason_code-30473573,17098345
30473574,overridden_by-30473574,43,2002-03-13T08:00:00.000Z,reason_code-30473574,17098345
30473575,overridden_by-30473575,83,2021-11-25T08:00:00.000Z,reason_code-30473575,17098345
30473576,overridden_by-30473576,39,2023-03-19T08:00:00.000Z,reason_code-30473576,17098345
30473577,overridden_by-30473577,33,2007-10-05T08:00:00.000Z,reason_code-30473577,17098345
30473578,overridden_by-30473578,15,2006-02-08T08:00:00.000Z,reason_code-30473578,17098345
30473579,overridden_by-30473579,45,2022-11-17T08:00:00.000Z,reason_code-30473579,17098345
30473580,overridden_by-30473580,99,2007-10-17T08:00:00.000Z,reason_code-30473580,17098345
30473581,overridden_by-30473581,59,2002-09-18T08:00:00.000Z,reason_code-30473581,17098345
30473582,overridden_by-30473582,39,2001-07-10T08:00:00.000Z,reason_code-30473582,17098345
30473583,overridden_by-30473583,57,2012-10-04T08:00:00.000Z,reason_code-30473583,17098345
30473584,overridden_by-30473584,42,2002-02-04T08:00:00.000Z,reason_code-30473584,17098345
30473585,overridden_by-30473585,42,2018-05-12T08:00:00.000Z,reason_code-30473585,17098345
30473586,overridden_by-30473586,54,2011-12-22T08:00:00.000Z,reason_code-30473586,17098345
30473587,overridden_by-30473587,61,2003-07-20T08:00:00.000Z,reason_code-30473587,17098345
30473588,overridden_by-30473588,3,2005-07-03T08:00:00.000Z,reason_code-30473588,17098345
30473589,overridden_by-30473589,86,2004-05-19T08:00:00.000Z,reason_code-30473589,17098345
30473590,overridden_by-30473590,23,2015-06-25T08:00:00.000Z,reason_code-30473590,17098345
30473591,overridden_by-30473591,99,2020-10-10T08:00:00.000Z,reason_code-30473591,17098345
30473592,overridden_by-30473592,33,2012-10-18T08:00:00.000Z,reason_code-30473592,17098345
30473593,overridden_by-30473593,86,2014-07-01T08:00:00.000Z,reason_code-30473593,17098345
30473594,overridden_by-30473594,44,2003-12-30T08:00:00.000Z,reason_code-30473594,17098345
30473595,overridden_by-30473595,54,2014-08-30T08:00:00.000Z,reason_code-30473595,17098345
30473596,overridden_by-30473596,72,2022-04-03T08:00:00.000Z,reason_code-30473596,17098345
30473597,overridden_by-30473597,84,2020-12-29T08:00:00.000Z,reason_code-30473597,17098345
30473598,overridden_by-30473598,17,2011-08-08T08:00:00.000Z,reason_code-30473598,17098345
30473599,overridden_by-30473599,61,2018-01-16T08:00:00.000Z,reason_code-30473599,17098345
30473600,overridden_by-30473600,11,2000-07-15T08:00:00.000Z,reason_code-30473600,17098345
30473601,overridden_by-30473601,34,2012-03-17T08:00:00.000Z,reason_code-30473601,17098345
30473602,overridden_by-30473602,47,2017-04-07T08:00:00.000Z,reason_code-30473602,17098345
30473603,overridden_by-30473603,47,2015-04-23T08:00:00.000Z,reason_code-30473603,17098345
30473604,overridden_by-30473604,65,2022-05-23T08:00:00.000Z,reason_code-30473604,17098345
30473605,overridden_by-30473605,28,2001-09-02T08:00:00.000Z,reason_code-30473605,17098345
30473606,overridden_by-30473606,93,2001-03-18T08:00:00.000Z,reason_code-30473606,17098345
30473607,overridden_by-30473607,37,2012-12-04T08:00:00.000Z,reason_code-30473607,17098345
30473608,overridden_by-30473608,77,2009-09-15T08:00:00.000Z,reason_code-30473608,17098345
30473609,overridden_by-30473609,79,2005-12-01T08:00:00.000Z,reason_code-30473609,17098345
30473610,overridden_by-30473610,68,2010-07-19T08:00:00.000Z,reason_code-30473610,17098345
30473611,overridden_by-30473611,74,2003-02-24T08:00:00.000Z,reason_code-30473611,17098345
30473612,overridden_by-30473612,38,2004-08-09T08:00:00.000Z,reason_code-30473612,17098345
