kpi_id,otif_score,logistic_cost,last_updated,vendor_vendor_id,tariff_tariff_id
1,91.5,0.45,2024-08-15T00:00:00.000Z,1,1
2,89.2,0.38,2024-09-01T00:00:00.000Z,1,2
3,94.3,0.52,2024-07-20T00:00:00.000Z,3,9
4,85.6,0.42,2024-10-01T00:00:00.000Z,7,3
5,97.8,1.20,2024-09-15T00:00:00.000Z,2,4
6,96.5,1.35,2024-08-30T00:00:00.000Z,9,4
7,98.2,1.85,2024-09-10T00:00:00.000Z,8,6
8,93.7,1.10,2024-10-05T00:00:00.000Z,5,7
9,92.1,0.95,2024-10-05T00:00:00.000Z,5,14
10,78.4,0.62,2024-07-01T00:00:00.000Z,6,10
11,95.9,0.85,2024-09-20T00:00:00.000Z,15,12
12,96.2,0.30,2024-08-01T00:00:00.000Z,4,13
13,88.5,0.75,2024-09-05T00:00:00.000Z,12,19
14,72.3,0.18,2024-06-15T00:00:00.000Z,10,16
15,81.6,0.55,2024-08-10T00:00:00.000Z,11,18
16,97.1,1.40,2024-09-25T00:00:00.000Z,18,5
17,95.4,1.25,2024-09-15T00:00:00.000Z,19,7
18,79.8,0.55,2024-07-01T00:00:00.000Z,6,11
19,84.9,0.40,2024-10-01T00:00:00.000Z,7,2
20,93.1,0.68,2024-07-25T00:00:00.000Z,3,8
21,87.3,0.92,2024-08-20T00:00:00.000Z,17,17
22,90.6,0.48,2024-09-30T00:00:00.000Z,20,25
23,76.5,0.70,2024-07-10T00:00:00.000Z,13,20
24,99.1,1.60,2024-10-10T00:00:00.000Z,4,12
25,83.4,0.35,2024-08-05T00:00:00.000Z,14,16
26,84.7,0.71,2025-03-12T00:00:00.000Z,38,13
27,93.1,1.34,2025-04-08T00:00:00.000Z,40,23
