comment_id,author_id,text_content,created_at,approval_log_log_id,contract_contract_id,request_request_id,vendor_vendor_id
28552354,author_id-28552354,text_content-28552354,2005-01-24T08:00:00.000Z,21582937,22144107,23185428,8633826
28552355,author_id-28552355,text_content-28552355,2001-08-14T08:00:00.000Z,21582937,22144107,23185428,8633826
28552356,author_id-28552356,text_content-28552356,2005-09-25T08:00:00.000Z,21582937,22144107,23185428,8633826
28552357,author_id-28552357,text_content-28552357,2011-08-17T08:00:00.000Z,21582937,22144107,23185428,8633826
28552358,author_id-28552358,text_content-28552358,2014-04-29T08:00:00.000Z,21582937,22144107,23185428,8633826
28552359,author_id-28552359,text_content-28552359,2022-03-13T08:00:00.000Z,21582937,22144107,23185428,8633826
28552360,author_id-28552360,text_content-28552360,2019-03-23T08:00:00.000Z,21582937,22144107,23185428,8633826
28552361,author_id-28552361,text_content-28552361,2023-03-31T08:00:00.000Z,21582937,22144107,23185428,8633826
28552362,author_id-28552362,text_content-28552362,2016-02-16T08:00:00.000Z,21582937,22144107,23185428,8633826
28552363,author_id-28552363,text_content-28552363,2002-01-15T08:00:00.000Z,21582937,22144107,23185428,8633826
28552364,author_id-28552364,text_content-28552364,2000-02-13T08:00:00.000Z,21582937,22144107,23185428,8633826
28552365,author_id-28552365,text_content-28552365,2022-07-15T08:00:00.000Z,21582937,22144107,23185428,8633826
28552366,author_id-28552366,text_content-28552366,2010-08-22T08:00:00.000Z,21582937,22144107,23185428,8633826
28552367,author_id-28552367,text_content-28552367,2008-12-15T08:00:00.000Z,21582937,22144107,23185428,8633826
28552368,author_id-28552368,text_content-28552368,2013-04-01T08:00:00.000Z,21582937,22144107,23185428,8633826
28552369,author_id-28552369,text_content-28552369,2010-09-15T08:00:00.000Z,21582937,22144107,23185428,8633826
28552370,author_id-28552370,text_content-28552370,2020-03-27T08:00:00.000Z,21582937,22144107,23185428,8633826
28552371,author_id-28552371,text_content-28552371,2019-08-31T08:00:00.000Z,21582937,22144107,23185428,8633826
28552372,author_id-28552372,text_content-28552372,2023-01-19T08:00:00.000Z,21582937,22144107,23185428,8633826
28552373,author_id-28552373,text_content-28552373,2006-01-05T08:00:00.000Z,21582937,22144107,23185428,8633826
28552374,author_id-28552374,text_content-28552374,2021-12-25T08:00:00.000Z,21582937,22144107,23185428,8633826
28552375,author_id-28552375,text_content-28552375,2001-04-15T08:00:00.000Z,21582937,22144107,23185428,8633826
28552376,author_id-28552376,text_content-28552376,2007-06-24T08:00:00.000Z,21582937,22144107,23185428,8633826
28552377,author_id-28552377,text_content-28552377,2000-10-26T08:00:00.000Z,21582937,22144107,23185428,8633826
28552378,author_id-28552378,text_content-28552378,2018-07-25T08:00:00.000Z,21582937,22144107,23185428,8633826
28552379,author_id-28552379,text_content-28552379,2001-09-21T08:00:00.000Z,21582937,22144107,23185428,8633826
28552380,author_id-28552380,text_content-28552380,2008-03-30T08:00:00.000Z,21582937,22144107,23185428,8633826
28552381,author_id-28552381,text_content-28552381,2011-11-24T08:00:00.000Z,21582937,22144107,23185428,8633826
28552382,author_id-28552382,text_content-28552382,2010-08-24T08:00:00.000Z,21582937,22144107,23185428,8633826
28552383,author_id-28552383,text_content-28552383,2018-05-22T08:00:00.000Z,21582937,22144107,23185428,8633826
28552384,author_id-28552384,text_content-28552384,2018-04-19T08:00:00.000Z,21582937,22144107,23185428,8633826
28552385,author_id-28552385,text_content-28552385,2022-07-22T08:00:00.000Z,21582937,22144107,23185428,8633826
28552386,author_id-28552386,text_content-28552386,2002-06-08T08:00:00.000Z,21582937,22144107,23185428,8633826
28552387,author_id-28552387,text_content-28552387,2016-05-15T08:00:00.000Z,21582937,22144107,23185428,8633826
28552388,author_id-28552388,text_content-28552388,2014-04-11T08:00:00.000Z,21582937,22144107,23185428,8633826
28552389,author_id-28552389,text_content-28552389,2015-05-31T08:00:00.000Z,21582937,22144107,23185428,8633826
28552390,author_id-28552390,text_content-28552390,2009-01-31T08:00:00.000Z,21582937,22144107,23185428,8633826
28552391,author_id-28552391,text_content-28552391,2012-03-07T08:00:00.000Z,21582937,22144107,23185428,8633826
28552392,author_id-28552392,text_content-28552392,2004-06-19T08:00:00.000Z,21582937,22144107,23185428,8633826
28552393,author_id-28552393,text_content-28552393,2017-08-16T08:00:00.000Z,21582937,22144107,23185428,8633826
28552394,author_id-28552394,text_content-28552394,2015-03-30T08:00:00.000Z,21582937,22144107,23185428,8633826
28552395,author_id-28552395,text_content-28552395,2012-08-12T08:00:00.000Z,21582937,22144107,23185428,8633826
28552396,author_id-28552396,text_content-28552396,2016-05-27T08:00:00.000Z,21582937,22144107,23185428,8633826
28552397,author_id-28552397,text_content-28552397,2001-12-01T08:00:00.000Z,21582937,22144107,23185428,8633826
28552398,author_id-28552398,text_content-28552398,2010-06-21T08:00:00.000Z,21582937,22144107,23185428,8633826
28552399,author_id-28552399,text_content-28552399,2017-04-12T08:00:00.000Z,21582937,22144107,23185428,8633826
28552400,author_id-28552400,text_content-28552400,2018-05-13T08:00:00.000Z,21582937,22144107,23185428,8633826
28552401,author_id-28552401,text_content-28552401,2007-03-09T08:00:00.000Z,21582937,22144107,23185428,8633826
28552402,author_id-28552402,text_content-28552402,2023-03-19T08:00:00.000Z,21582937,22144107,23185428,8633826
28552403,author_id-28552403,text_content-28552403,2008-06-30T08:00:00.000Z,21582937,22144107,23185428,8633826
