po_id,status,po_pdf,expected_delivery_date,received_date,disruption_reason,product_quantity,po_total,allocation_allocation_id,product_product_id,vendor_vendor_id
1,active,,2025-07-01T00:00:00.000Z,2025-07-08T00:00:00.000Z,,450,10125.00,1,1,1
2,active,,2025-07-02T00:00:00.000Z,2025-07-09T00:00:00.000Z,,80,22400.00,3,2,2
3,active,,2025-07-03T00:00:00.000Z,2025-07-10T00:00:00.000Z,,1500,45750.00,5,3,3
4,active,,2025-07-04T00:00:00.000Z,2025-07-11T00:00:00.000Z,,300,79500.00,7,4,4
5,active,,2025-07-05T00:00:00.000Z,2025-07-12T00:00:00.000Z,,120,348000.00,8,5,5
6,active,,2025-07-06T00:00:00.000Z,2025-07-13T00:00:00.000Z,,250,79500.00,4,6,6
7,active,,2025-07-07T00:00:00.000Z,2025-07-14T00:00:00.000Z,,3000,25200.00,6,7,7
8,active,,2025-07-08T00:00:00.000Z,2025-07-15T00:00:00.000Z,,60,3960000.00,9,8,8
9,active,,2025-07-09T00:00:00.000Z,2025-07-16T00:00:00.000Z,,6000,12600.00,11,9,9
10,active,,2025-07-10T00:00:00.000Z,2025-07-17T00:00:00.000Z,,90,270000.00,12,10,10
11,active,,2025-07-11T00:00:00.000Z,2025-07-18T00:00:00.000Z,,750,17250.00,13,11,11
12,active,,2025-07-12T00:00:00.000Z,2025-07-19T00:00:00.000Z,,150,14250.00,14,12,12
13,active,,2025-07-13T00:00:00.000Z,2025-07-20T00:00:00.000Z,,180,26460.00,15,13,13
14,active,,2025-07-14T00:00:00.000Z,2025-07-21T00:00:00.000Z,,400,35000.00,16,14,14
15,active,,2025-07-15T00:00:00.000Z,2025-07-22T00:00:00.000Z,,4000,37600.00,10,15,15
16,active,,2025-07-16T00:00:00.000Z,2025-07-23T00:00:00.000Z,,1000,33280.00,19,16,16
17,active,,2025-07-17T00:00:00.000Z,2025-07-24T00:00:00.000Z,,100,29500.00,20,17,17
18,active,,2025-07-18T00:00:00.000Z,2025-07-25T00:00:00.000Z,,1500,19500.00,18,18,18
19,cancelled,,2025-07-19T00:00:00.000Z,,Supplier contract dispute — order could not be fulfilled,400,112000.00,21,27,38
20,delayed,,2025-07-20T00:00:00.000Z,2025-07-29T00:00:00.000Z,Manufacturing backlog caused shipment delay,300,54000.00,22,28,40
