contract_id,start_date,end_date,minimum_order_quantity,volume_discount_tiers,penalty_clause,vendor_vendor_id,product_product_id
22144058,2014-04-02T08:00:00.000Z,2000-12-14T08:00:00.000Z,40,volume_discount_tiers-22144058,penalty_clause-22144058,8633826,12539632
22144059,2009-10-31T08:00:00.000Z,2002-02-06T08:00:00.000Z,81,volume_discount_tiers-22144059,penalty_clause-22144059,8633826,12539632
22144060,2015-07-18T08:00:00.000Z,2010-12-23T08:00:00.000Z,81,volume_discount_tiers-22144060,penalty_clause-22144060,8633826,12539632
22144061,2017-12-08T08:00:00.000Z,2004-08-31T08:00:00.000Z,27,volume_discount_tiers-22144061,penalty_clause-22144061,8633826,12539632
22144062,2015-11-10T08:00:00.000Z,2017-10-06T08:00:00.000Z,53,volume_discount_tiers-22144062,penalty_clause-22144062,8633826,12539632
22144063,2007-12-14T08:00:00.000Z,2019-07-21T08:00:00.000Z,10,volume_discount_tiers-22144063,penalty_clause-22144063,8633826,12539632
22144064,2018-07-19T08:00:00.000Z,2005-02-15T08:00:00.000Z,31,volume_discount_tiers-22144064,penalty_clause-22144064,8633826,12539632
22144065,2015-03-25T08:00:00.000Z,2023-06-30T08:00:00.000Z,97,volume_discount_tiers-22144065,penalty_clause-22144065,8633826,12539632
22144066,2016-04-10T08:00:00.000Z,2020-11-09T08:00:00.000Z,71,volume_discount_tiers-22144066,penalty_clause-22144066,8633826,12539632
22144067,2021-08-16T08:00:00.000Z,2020-02-19T08:00:00.000Z,55,volume_discount_tiers-22144067,penalty_clause-22144067,8633826,12539632
22144068,2019-03-24T08:00:00.000Z,2022-11-01T08:00:00.000Z,83,volume_discount_tiers-22144068,penalty_clause-22144068,8633826,12539632
22144069,2002-03-26T08:00:00.000Z,2009-05-01T08:00:00.000Z,88,volume_discount_tiers-22144069,penalty_clause-22144069,8633826,12539632
22144070,2004-01-22T08:00:00.000Z,2013-12-29T08:00:00.000Z,33,volume_discount_tiers-22144070,penalty_clause-22144070,8633826,12539632
22144071,2005-04-01T08:00:00.000Z,2016-11-22T08:00:00.000Z,15,volume_discount_tiers-22144071,penalty_clause-22144071,8633826,12539632
22144072,2009-01-10T08:00:00.000Z,2014-10-24T08:00:00.000Z,8,volume_discount_tiers-22144072,penalty_clause-22144072,8633826,12539632
22144073,2014-07-23T08:00:00.000Z,2011-07-30T08:00:00.000Z,52,volume_discount_tiers-22144073,penalty_clause-22144073,8633826,12539632
22144074,2013-05-15T08:00:00.000Z,2001-06-09T08:00:00.000Z,36,volume_discount_tiers-22144074,penalty_clause-22144074,8633826,12539632
22144075,2003-07-25T08:00:00.000Z,2003-01-08T08:00:00.000Z,92,volume_discount_tiers-22144075,penalty_clause-22144075,8633826,12539632
22144076,2006-05-13T08:00:00.000Z,2019-11-17T08:00:00.000Z,62,volume_discount_tiers-22144076,penalty_clause-22144076,8633826,12539632
22144077,2010-05-21T08:00:00.000Z,2023-10-27T08:00:00.000Z,24,volume_discount_tiers-22144077,penalty_clause-22144077,8633826,12539632
22144078,2004-12-09T08:00:00.000Z,2001-09-25T08:00:00.000Z,83,volume_discount_tiers-22144078,penalty_clause-22144078,8633826,12539632
22144079,2015-01-02T08:00:00.000Z,2016-04-14T08:00:00.000Z,8,volume_discount_tiers-22144079,penalty_clause-22144079,8633826,12539632
22144080,2014-06-16T08:00:00.000Z,2021-03-14T08:00:00.000Z,78,volume_discount_tiers-22144080,penalty_clause-22144080,8633826,12539632
22144081,2011-08-14T08:00:00.000Z,2002-03-17T08:00:00.000Z,24,volume_discount_tiers-22144081,penalty_clause-22144081,8633826,12539632
22144082,2001-12-21T08:00:00.000Z,2021-03-16T08:00:00.000Z,51,volume_discount_tiers-22144082,penalty_clause-22144082,8633826,12539632
22144083,2007-10-02T08:00:00.000Z,2007-05-13T08:00:00.000Z,3,volume_discount_tiers-22144083,penalty_clause-22144083,8633826,12539632
22144084,2002-12-31T08:00:00.000Z,2000-03-22T08:00:00.000Z,64,volume_discount_tiers-22144084,penalty_clause-22144084,8633826,12539632
22144085,2013-04-08T08:00:00.000Z,2018-01-28T08:00:00.000Z,42,volume_discount_tiers-22144085,penalty_clause-22144085,8633826,12539632
22144086,2011-07-24T08:00:00.000Z,2003-01-13T08:00:00.000Z,1,volume_discount_tiers-22144086,penalty_clause-22144086,8633826,12539632
22144087,2007-08-27T08:00:00.000Z,2003-02-01T08:00:00.000Z,79,volume_discount_tiers-22144087,penalty_clause-22144087,8633826,12539632
22144088,2019-09-11T08:00:00.000Z,2012-05-11T08:00:00.000Z,99,volume_discount_tiers-22144088,penalty_clause-22144088,8633826,12539632
22144089,2001-12-10T08:00:00.000Z,2007-05-10T08:00:00.000Z,39,volume_discount_tiers-22144089,penalty_clause-22144089,8633826,12539632
22144090,2004-06-29T08:00:00.000Z,2023-09-25T08:00:00.000Z,13,volume_discount_tiers-22144090,penalty_clause-22144090,8633826,12539632
22144091,2007-07-15T08:00:00.000Z,2002-01-25T08:00:00.000Z,44,volume_discount_tiers-22144091,penalty_clause-22144091,8633826,12539632
22144092,2018-08-25T08:00:00.000Z,2020-10-12T08:00:00.000Z,17,volume_discount_tiers-22144092,penalty_clause-22144092,8633826,12539632
22144093,2001-11-05T08:00:00.000Z,2004-10-30T08:00:00.000Z,60,volume_discount_tiers-22144093,penalty_clause-22144093,8633826,12539632
22144094,2011-06-11T08:00:00.000Z,2015-07-27T08:00:00.000Z,0,volume_discount_tiers-22144094,penalty_clause-22144094,8633826,12539632
22144095,2009-08-06T08:00:00.000Z,2010-02-13T08:00:00.000Z,77,volume_discount_tiers-22144095,penalty_clause-22144095,8633826,12539632
22144096,2003-06-27T08:00:00.000Z,2016-04-16T08:00:00.000Z,75,volume_discount_tiers-22144096,penalty_clause-22144096,8633826,12539632
22144097,2021-08-01T08:00:00.000Z,2014-03-06T08:00:00.000Z,18,volume_discount_tiers-22144097,penalty_clause-22144097,8633826,12539632
22144098,2005-05-25T08:00:00.000Z,2002-09-22T08:00:00.000Z,97,volume_discount_tiers-22144098,penalty_clause-22144098,8633826,12539632
22144099,2019-10-21T08:00:00.000Z,2015-12-06T08:00:00.000Z,74,volume_discount_tiers-22144099,penalty_clause-22144099,8633826,12539632
22144100,2005-12-02T08:00:00.000Z,2022-05-07T08:00:00.000Z,0,volume_discount_tiers-22144100,penalty_clause-22144100,8633826,12539632
22144101,2007-07-02T08:00:00.000Z,2019-09-24T08:00:00.000Z,75,volume_discount_tiers-22144101,penalty_clause-22144101,8633826,12539632
22144102,2016-07-03T08:00:00.000Z,2002-08-09T08:00:00.000Z,43,volume_discount_tiers-22144102,penalty_clause-22144102,8633826,12539632
22144103,2001-03-27T08:00:00.000Z,2012-02-26T08:00:00.000Z,75,volume_discount_tiers-22144103,penalty_clause-22144103,8633826,12539632
22144104,2008-02-10T08:00:00.000Z,2020-04-04T08:00:00.000Z,51,volume_discount_tiers-22144104,penalty_clause-22144104,8633826,12539632
22144105,2012-06-01T08:00:00.000Z,2012-03-06T08:00:00.000Z,87,volume_discount_tiers-22144105,penalty_clause-22144105,8633826,12539632
22144106,2003-04-29T08:00:00.000Z,2010-01-23T08:00:00.000Z,64,volume_discount_tiers-22144106,penalty_clause-22144106,8633826,12539632
22144107,2002-06-24T08:00:00.000Z,2005-08-07T08:00:00.000Z,71,volume_discount_tiers-22144107,penalty_clause-22144107,8633826,12539632
