quote_id,unit_price,capacity_limit,lead_time_days,currency,vendor_vendor_id,contract_contract_id,product_product_id
1,21.50,50000,14,CNY,1,1,1
2,23.80,30000,18,CNY,1,1,1
3,315.00,5000,21,CNY,1,2,5
4,2880.00,8000,28,TWD,3,3,8
5,96.00,40000,16,TWD,3,4,1
6,29.50,200000,30,CNY,7,5,16
7,360.00,10000,25,CNY,7,6,5
8,275.00,2000,35,EUR,2,7,9
9,185.00,3000,28,EUR,2,8,10
10,290.00,1500,40,EUR,9,9,9
11,8.20,100000,21,USD,4,10,4
12,12.50,80000,28,CAD,15,11,7
13,9.80,90000,25,CAD,15,12,4
14,64000.00,500,42,JPY,8,13,15
15,54000.00,800,38,JPY,8,14,6
16,255000.00,3000,22,KRW,5,15,13
17,85000.00,5000,18,KRW,5,16,24
18,20.00,500000,35,INR,6,17,20
19,320.00,50000,28,INR,6,18,12
20,92.00,2000,32,EUR,12,19,17
21,28.00,8000,22,EUR,12,20,14
22,142.00,1500,30,EUR,18,21,2
23,27500.00,2500,25,JPY,19,22,13
24,10.50,60000,30,USD,11,24,7
25,1.35,200000,45,USD,10,25,18
26,295.00,1800,38,EUR,9,9,9
27,260000.00,2000,20,KRW,5,15,13
28,22.00,45000,15,CNY,1,1,1
29,8.90,95000,24,USD,4,10,4
30,9.10,70000,22,USD,4,23,3
31,385.00,2000,21,USD,21,26,6
32,420.00,1500,25,EUR,22,27,6
33,48000.00,2500,30,JPY,23,28,6
34,132000.00,5000,18,KRW,24,29,8
35,580.00,8000,22,CNY,25,30,8
36,125000.00,6000,16,KRW,26,31,8
37,380.00,1000,28,EUR,27,32,15
38,55000.00,1200,32,JPY,28,33,15
39,310.00,800,24,USD,29,34,15
40,8500.00,100,45,USD,30,35,21
41,9200.00,80,50,EUR,31,36,21
42,52000.00,150,40,CNY,32,37,21
43,45.00,10000,14,USD,33,38,25
44,52.00,8000,18,EUR,34,39,25
45,6800.00,9000,20,JPY,35,40,25
46,0.85,500000,10,USD,36,41,26
47,0.92,400000,14,EUR,37,42,26
48,1.55,350000,10,USD,38,43,27
49,195.00,300000,16,JPY,39,44,27
50,28.00,150000,18,CNY,40,45,28
51,5.20,120000,15,EUR,41,46,28
